panel_rank,genejepa_index,gene_symbol,ensembl_id,token_id,mean_log1p_cp10k,population_variance_log1p_cp10k
0,452,VIM,ENSG00000026025,455,1.6701428602823953,2.5227806536394617
1,4420,FN1,ENSG00000115414,4423,1.046538752255832,2.3115683703862375
2,6375,AKAP12,ENSG00000131016,6378,1.2095667755486679,2.162376501136636
3,25191,EPIC1,ENSG00000224271,25194,1.1986460431501054,2.0938760434270893
4,4182,PDE4D,ENSG00000113448,4185,1.2433399091384185,1.9320104345643847
5,2919,NDRG1,ENSG00000104419,2922,1.6526601682616773,1.9193784984653837
6,5610,MT2A,ENSG00000125148,5613,1.2495021578232397,1.8969055679231663
7,3297,SERPINE1,ENSG00000106366,3300,0.8783152194779665,1.814043926826022
8,606,HSPA5,ENSG00000044574,609,1.223430982616531,1.7450464629436884
9,4290,GBE1,ENSG00000114480,4293,1.497599699675166,1.722663939605693
10,456,CD44,ENSG00000026508,459,1.1720117960399972,1.7205492817185795
11,1509,HSP90AA1,ENSG00000080824,1512,1.6302814349576047,1.7128440593661054
12,38582,PVT1,ENSG00000249859,38585,1.3333041458972705,1.6884190740225622
13,15174,EXT1,ENSG00000182197,15177,1.5081801459275748,1.679838947001707
14,17691,ASPH,ENSG00000198363,17694,1.7937702013026235,1.678248171438005
15,27097,LINC00511,ENSG00000227036,27100,1.1037773982338919,1.6775234509957535
16,8862,IGFBP3,ENSG00000146674,8865,0.8392285870737739,1.6530796297649268
17,15814,IMMP2L,ENSG00000184903,15817,1.3328720543157284,1.6486949887610833
18,1718,FTL,ENSG00000087086,1721,1.3750559110243934,1.6435175836664946
19,11892,HSP90B1,ENSG00000166598,11895,2.0687537794525,1.6414437888020625
20,17552,ERO1A,ENSG00000197930,17555,1.44019263276664,1.6396705448203721
21,10097,MYO1E,ENSG00000157483,10100,1.3111534126508375,1.631298510915682
22,550,TRIO,ENSG00000038382,553,1.8774412965774416,1.6310423606016435
23,510,TMSB10,ENSG00000034510,513,1.710552662363076,1.6187648939892374
24,17838,MT-ND5,ENSG00000198786,17841,2.0917624775443744,1.6098621557538424
25,3913,GAPDH,ENSG00000111640,3916,2.5107777038380608,1.6094171886474955
26,30243,LINC-PINT,ENSG00000231721,30246,1.7573406465291457,1.6071998876568894
27,9591,PLOD2,ENSG00000152952,9594,1.0383365713268167,1.6000692258391838
28,1308,FNDC3B,ENSG00000075420,1311,1.9986476883026227,1.5955170196169877
29,9465,DST,ENSG00000151914,9468,1.460525141016039,1.5878694739954207
30,767,DCBLD2,ENSG00000057019,770,1.1131210774375861,1.587147629320857
31,16439,PTMA,ENSG00000187514,16442,1.905283156828624,1.5812436557349154
32,7204,FLNB,ENSG00000136068,7207,1.2745445629505412,1.5759107541328499
33,17043,CD55,ENSG00000196352,17046,0.9343791134609121,1.565145082685523
34,11907,B2M,ENSG00000166710,11910,1.3663754586011805,1.55613579628496
35,15691,EFNA5,ENSG00000184349,15694,0.9983133058103698,1.5542895728880362
36,8859,EGFR,ENSG00000146648,8862,1.0180708177509865,1.5362513239023132
37,7221,LMO7,ENSG00000136153,7224,0.9406847571219796,1.5349306835790233
38,15612,ACTG1,ENSG00000184009,15615,1.4226541832802677,1.5325571295136426
39,4558,ERRFI1,ENSG00000116285,4561,1.158208643064066,1.530974807053827
40,3200,NAMPT,ENSG00000105835,3203,1.1424741289869353,1.5299672291958317
41,11265,ITGA2,ENSG00000164171,11268,0.9530083755601497,1.5032336623462013
42,7414,RPS6,ENSG00000137154,7417,1.691045823957163,1.5026261065631665
43,341,GPRC5A,ENSG00000013588,344,0.9879990749720827,1.4963163953547676
44,15291,ANXA2,ENSG00000182718,15294,1.5356712953914897,1.49078729893618
45,17709,TXNRD1,ENSG00000198431,17712,1.0875101287169986,1.485552949666084
46,6713,TPT1,ENSG00000133112,6716,1.5801068768756696,1.476470008162745
47,9274,ITGB1,ENSG00000150093,9277,1.4932723797864884,1.475588269798486
48,17850,MT-CO1,ENSG00000198804,17853,1.5401030083249085,1.4732698367796289
49,17899,MT-ND4,ENSG00000198886,17902,2.476867956574268,1.4708829351489632
50,1980,EZR,ENSG00000092820,1983,1.1176807263937427,1.468318682096029
51,1315,ACTB,ENSG00000075624,1318,1.2816067833592106,1.4633186937618152
52,11979,SMAD3,ENSG00000166949,11982,1.142883380723977,1.449159030550766
53,15070,ZBTB20,ENSG00000181722,15073,1.241763450884197,1.4455748624009481
54,2059,HSP90AB1,ENSG00000096384,2062,1.9423928755266326,1.4439185365315437
55,518,VCL,ENSG00000035403,521,1.2037095180000588,1.4413591021764274
56,2724,NFAT5,ENSG00000102908,2727,1.3898721513888115,1.4384321144435117
57,5601,AHNAK,ENSG00000124942,5604,1.25313472417962,1.436360681841323
58,12242,FTH1,ENSG00000167996,12245,1.096289026263349,1.43601732455308
59,1275,ENO1,ENSG00000074800,1278,1.587991268156919,1.4317322018030083
60,4402,SPTBN1,ENSG00000115306,4405,1.2887585586902972,1.4296792221045553
61,15170,RAD51B,ENSG00000182185,15173,1.1250298451845901,1.4267615303723016
62,10152,AGAP1,ENSG00000157985,10155,1.4614825040729271,1.4214613318506633
63,5687,RPL23,ENSG00000125691,5690,1.284636277529084,1.4192413727614626
64,8594,GOLGA4,ENSG00000144674,8597,1.6459312168996008,1.4184049321845649
65,6882,LDHA,ENSG00000134333,6885,1.5790150784976558,1.416595634089958
